Date,Country,City,Specie,count,min,max,median,variance
12-01-2020,IN,Thrissur,co,24,5.3,14.6,9.9,90.23
14-01-2020,IN,Thrissur,co,21,5.3,16.1,10.5,148.8
09-02-2020,IN,Thrissur,co,22,0.1,10.2,5.3,61.1
13-04-2020,IN,Thrissur,co,48,1.8,14.9,4.3,286.45
11-05-2020,IN,Thrissur,co,72,1.5,21.7,11.3,360.42
08-06-2020,IN,Thrissur,co,72,2.4,25.8,14,536.22
26-06-2020,IN,Thrissur,co,72,1.8,22.4,14.8,491.93
09-01-2020,IN,Thrissur,co,24,3.4,11.7,8.6,58.43
13-02-2020,IN,Thrissur,co,24,1.2,12.7,5.6,138.87
10-04-2020,IN,Thrissur,co,72,1.9,11.4,8,99.52
19-04-2020,IN,Thrissur,co,63,1.8,14.3,9.1,175.83
22-05-2020,IN,Thrissur,co,72,1.5,20.3,11.9,319.55
25-06-2020,IN,Thrissur,co,72,1.6,22.2,14.7,535.91
04-01-2020,IN,Thrissur,co,24,2.2,15.4,9.5,130.84
06-02-2020,IN,Thrissur,co,24,4.3,9.1,6.1,19.79
27-02-2020,IN,Thrissur,co,14,5.1,10.1,6.9,20.76
05-05-2020,IN,Thrissur,co,51,1.3,19.4,11.8,346.69
12-05-2020,IN,Thrissur,co,66,0.9,22.5,12.7,459.97
18-06-2020,IN,Thrissur,co,48,0.8,17,7,399.24
24-06-2020,IN,Thrissur,co,67,0.3,29.8,19.1,939.44
24-01-2020,IN,Thrissur,co,24,1.9,9.9,6.8,50.13
27-01-2020,IN,Thrissur,co,24,1.9,9.9,6,42.14
04-03-2020,IN,Thrissur,co,24,2.7,7.5,4.5,23.46
12-03-2020,IN,Thrissur,co,24,2.6,4,3.3,1.62
11-06-2020,IN,Thrissur,co,72,0.9,25.3,15.9,586.74
21-01-2020,IN,Thrissur,co,13,0.4,9.9,5,114.04
25-01-2020,IN,Thrissur,co,24,2.2,11.2,6,46.4
22-02-2020,IN,Thrissur,co,24,3.1,10.6,5.8,35.76
24-03-2020,IN,Thrissur,co,21,0.3,3.6,2.8,5.63
01-04-2020,IN,Thrissur,co,72,0.8,12.8,7.5,122.89
20-04-2020,IN,Thrissur,co,70,0.6,14.7,9,197.61
04-05-2020,IN,Thrissur,co,48,8.6,19.8,11.4,141.78
10-05-2020,IN,Thrissur,co,71,0.3,17.5,11.9,279.94
14-06-2020,IN,Thrissur,co,68,0.4,17.6,12.3,340.3
23-06-2020,IN,Thrissur,co,57,0.3,29.7,17.8,525.78
12-07-2020,IN,Thrissur,co,72,2.3,17.3,13.1,313.45
14-07-2020,IN,Thrissur,co,72,0.9,22,14.6,467.68
18-05-2020,IN,Thrissur,co,72,2.1,31.9,12.2,744.49
09-07-2020,IN,Thrissur,co,47,0.2,16.9,15.3,446.17
26-01-2020,IN,Thrissur,co,24,1.5,11.5,7.2,101.97
01-03-2020,IN,Thrissur,co,24,2,7.4,4.8,28.55
07-03-2020,IN,Thrissur,co,23,0.4,8.1,4.3,35.03
13-03-2020,IN,Thrissur,co,24,1.1,4.3,3.2,5.84
